Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
istockphoto-146074221-612x612.jpg,1.0398,0.3542,0.8709,0.6477,0.9931,0.4195,0.7848,0.882,0.6486,1.3118,0.8596,0.6467,0.8233,0.8824,0.6487,1.2392,0.8594,0.6467
istockphoto-146074221-612x612.jpg,1.0398,0.3542,0.8709,0.6477,0.9931,0.4195,0.7848,0.882,0.6486,1.3118,0.8596,0.6467,0.8233,0.8824,0.6487,1.2392,0.8594,0.6467
istockphoto-146899851-612x612.jpg,0.9515,0.3514,0.868,0.6414,0.9928,0.4115,0.7618,0.8771,0.6428,1.2044,0.8548,0.6401,0.6832,0.8859,0.6425,1.1567,0.8543,0.6403
istockphoto-146899851-612x612.jpg,0.9515,0.3514,0.868,0.6414,0.9928,0.4115,0.7618,0.8771,0.6428,1.2044,0.8548,0.6401,0.6832,0.8859,0.6425,1.1567,0.8543,0.6403
istockphoto-147072004-612x612.jpg,0.9897,0.3221,0.8873,0.7217,0.9906,0.5209,0.7061,0.8989,0.7229,1.2097,0.8764,0.7208,0.8409,0.8958,0.7223,1.2023,0.878,0.7209
istockphoto-147072004-612x612.jpg,0.9897,0.3221,0.8873,0.7217,0.9906,0.5209,0.7061,0.8989,0.7229,1.2097,0.8764,0.7208,0.8409,0.8958,0.7223,1.2023,0.878,0.7209
istockphoto-147666530-612x612.jpg,1.5906,0.4908,0.8281,0.5547,0.9924,0.3077,1.2221,0.841,0.5562,1.9182,0.8142,0.5534,1.2202,0.8423,0.5557,2.0019,0.8149,0.5535
istockphoto-147666530-612x612.jpg,1.5906,0.4908,0.8281,0.5547,0.9924,0.3077,1.2221,0.841,0.5562,1.9182,0.8142,0.5534,1.2202,0.8423,0.5557,2.0019,0.8149,0.5535
istockphoto-1489396457-612x612.jpg,1.8435,0.7009,0.7408,0.3754,0.9874,0.1409,1.3747,0.7657,0.3773,2.3926,0.718,0.3733,1.4239,0.76,0.3771,2.1827,0.7194,0.3737
istockphoto-1489396457-612x612.jpg,1.8435,0.7009,0.7408,0.3754,0.9874,0.1409,1.3747,0.7657,0.3773,2.3926,0.718,0.3733,1.4239,0.76,0.3771,2.1827,0.7194,0.3737
istockphoto-1605993675-612x612.jpg,1.8167,0.6575,0.761,0.4242,0.9889,0.18,1.422,0.7812,0.4258,2.3549,0.7408,0.4224,1.3513,0.7806,0.426,2.1385,0.7415,0.4227
istockphoto-1605993675-612x612.jpg,1.8167,0.6575,0.761,0.4242,0.9889,0.18,1.422,0.7812,0.4258,2.3549,0.7408,0.4224,1.3513,0.7806,0.426,2.1385,0.7415,0.4227
istockphoto-166138544-612x612.jpg,1.3097,0.4292,0.8468,0.6074,0.9924,0.369,1.0958,0.8571,0.6083,1.6679,0.8337,0.6065,0.9315,0.8627,0.6085,1.5437,0.8339,0.6064
istockphoto-166138544-612x612.jpg,1.3097,0.4292,0.8468,0.6074,0.9924,0.369,1.0958,0.8571,0.6083,1.6679,0.8337,0.6065,0.9315,0.8627,0.6085,1.5437,0.8339,0.6064
istockphoto-172381794-612x612.jpg,1.3383,0.4291,0.8466,0.5098,0.9935,0.2598,1.0167,0.8629,0.5111,1.7486,0.8326,0.5084,1.0806,0.8569,0.5108,1.5071,0.834,0.5088
istockphoto-172381794-612x612.jpg,1.3383,0.4291,0.8466,0.5098,0.9935,0.2598,1.0167,0.8629,0.5111,1.7486,0.8326,0.5084,1.0806,0.8569,0.5108,1.5071,0.834,0.5088
istockphoto-177110145-612x612.jpg,2.4327,0.7337,0.7461,0.3097,0.9874,0.0959,1.8299,0.7669,0.3119,2.9904,0.7245,0.3074,1.9483,0.7683,0.3124,2.9624,0.7249,0.3073
istockphoto-177110145-612x612.jpg,2.4327,0.7337,0.7461,0.3097,0.9874,0.0959,1.8299,0.7669,0.3119,2.9904,0.7245,0.3074,1.9483,0.7683,0.3124,2.9624,0.7249,0.3073
istockphoto-177247793-612x612.jpg,1.7736,0.4451,0.8594,0.7031,0.9859,0.4943,1.441,0.8678,0.7038,2.1993,0.8502,0.7023,1.4075,0.8687,0.7037,2.0468,0.851,0.7025
istockphoto-177247793-612x612.jpg,1.7736,0.4451,0.8594,0.7031,0.9859,0.4943,1.441,0.8678,0.7038,2.1993,0.8502,0.7023,1.4075,0.8687,0.7037,2.0468,0.851,0.7025
istockphoto-179514712-612x612.jpg,0.7646,0.2879,0.8891,0.6653,0.9928,0.4427,0.5647,0.8985,0.6661,0.9252,0.8791,0.6646,0.5918,0.9024,0.6663,0.977,0.8763,0.6643
istockphoto-179514712-612x612.jpg,0.7646,0.2879,0.8891,0.6653,0.9928,0.4427,0.5647,0.8985,0.6661,0.9252,0.8791,0.6646,0.5918,0.9024,0.6663,0.977,0.8763,0.6643
istockphoto-185071735-612x612.jpg,1.2492,0.4115,0.8483,0.5347,0.9939,0.2859,0.9506,0.8656,0.5362,1.5203,0.8329,0.5334,0.9519,0.8615,0.5358,1.5739,0.8333,0.5334
istockphoto-185071735-612x612.jpg,1.2492,0.4115,0.8483,0.5347,0.9939,0.2859,0.9506,0.8656,0.5362,1.5203,0.8329,0.5334,0.9519,0.8615,0.5358,1.5739,0.8333,0.5334
istockphoto-185689098-612x612.jpg,2.077,0.5171,0.8406,0.6656,0.9865,0.443,1.6117,0.8513,0.6669,2.6482,0.8291,0.6646,1.6784,0.8514,0.6662,2.3696,0.8307,0.6647
istockphoto-185689098-612x612.jpg,2.077,0.5171,0.8406,0.6656,0.9865,0.443,1.6117,0.8513,0.6669,2.6482,0.8291,0.6646,1.6784,0.8514,0.6662,2.3696,0.8307,0.6647
istockphoto-186843005-612x612.jpg,3.6093,0.808,0.7555,0.4128,0.9852,0.1704,2.7963,0.7737,0.4144,4.5118,0.7358,0.4109,2.7827,0.7733,0.415,4.3462,0.7392,0.4111
istockphoto-186843005-612x612.jpg,3.6093,0.808,0.7555,0.4128,0.9852,0.1704,2.7963,0.7737,0.4144,4.5118,0.7358,0.4109,2.7827,0.7733,0.415,4.3462,0.7392,0.4111
istockphoto-187185922-612x612.jpg,2.0392,0.6124,0.7937,0.5528,0.9885,0.3056,1.5844,0.8102,0.5541,2.5509,0.7784,0.5516,1.5723,0.8064,0.5537,2.4493,0.7798,0.5518
istockphoto-187185922-612x612.jpg,2.0392,0.6124,0.7937,0.5528,0.9885,0.3056,1.5844,0.8102,0.5541,2.5509,0.7784,0.5516,1.5723,0.8064,0.5537,2.4493,0.7798,0.5518
istockphoto-2218780905-612x612.jpg,1.4578,0.476,0.8305,0.5323,0.9912,0.2834,1.1327,0.8444,0.5334,1.7157,0.8176,0.5311,1.1165,0.8447,0.5336,1.8665,0.8153,0.5311
istockphoto-2218780905-612x612.jpg,1.4578,0.476,0.8305,0.5323,0.9912,0.2834,1.1327,0.8444,0.5334,1.7157,0.8176,0.5311,1.1165,0.8447,0.5336,1.8665,0.8153,0.5311
istockphoto-2218780960-612x612.jpg,1.6584,0.5138,0.8231,0.5565,0.9892,0.3097,1.2965,0.835,0.5575,1.9245,0.8103,0.5554,1.2827,0.8381,0.5575,2.1298,0.809,0.5556
istockphoto-2218780960-612x612.jpg,1.6584,0.5138,0.8231,0.5565,0.9892,0.3097,1.2965,0.835,0.5575,1.9245,0.8103,0.5554,1.2827,0.8381,0.5575,2.1298,0.809,0.5556
istockphoto-465833631-612x612.jpg,1.7332,0.5141,0.8282,0.4904,0.9888,0.2405,1.3327,0.845,0.4921,1.9872,0.8173,0.4892,1.3553,0.8389,0.4913,2.2579,0.8116,0.4891
istockphoto-465833631-612x612.jpg,1.7332,0.5141,0.8282,0.4904,0.9888,0.2405,1.3327,0.845,0.4921,1.9872,0.8173,0.4892,1.3553,0.8389,0.4913,2.2579,0.8116,0.4891
istockphoto-466413957-612x612.jpg,4.296,0.8613,0.7662,0.5641,0.9758,0.3182,3.4637,0.7796,0.5652,5.1704,0.7551,0.5632,3.3368,0.7779,0.5651,5.2133,0.7522,0.563
istockphoto-466413957-612x612.jpg,4.296,0.8613,0.7662,0.5641,0.9758,0.3182,3.4637,0.7796,0.5652,5.1704,0.7551,0.5632,3.3368,0.7779,0.5651,5.2133,0.7522,0.563
istockphoto-471597370-612x612.jpg,2.6487,0.6502,0.8005,0.5502,0.987,0.3028,2.1025,0.8172,0.5514,3.308,0.7868,0.5491,2.0464,0.8117,0.5512,3.1378,0.7863,0.5492
istockphoto-471597370-612x612.jpg,2.6487,0.6502,0.8005,0.5502,0.987,0.3028,2.1025,0.8172,0.5514,3.308,0.7868,0.5491,2.0464,0.8117,0.5512,3.1378,0.7863,0.5492
istockphoto-479800900-612x612.jpg,2.3645,0.5332,0.8433,0.6689,0.9789,0.4474,1.8364,0.8536,0.6697,2.9537,0.8325,0.668,1.826,0.8535,0.6695,2.842,0.8335,0.6681
istockphoto-479800900-612x612.jpg,2.3645,0.5332,0.8433,0.6689,0.9789,0.4474,1.8364,0.8536,0.6697,2.9537,0.8325,0.668,1.826,0.8535,0.6695,2.842,0.8335,0.6681
istockphoto-483874492-612x612.jpg,1.8055,0.5033,0.832,0.4631,0.9907,0.2144,1.4341,0.8457,0.4645,2.1549,0.8158,0.462,1.4562,0.8477,0.4641,2.177,0.8189,0.4616
istockphoto-483874492-612x612.jpg,1.8055,0.5033,0.832,0.4631,0.9907,0.2144,1.4341,0.8457,0.4645,2.1549,0.8158,0.462,1.4562,0.8477,0.4641,2.177,0.8189,0.4616
istockphoto-488957174-612x612.jpg,3.4375,0.6939,0.8072,0.6166,0.9823,0.3802,2.8236,0.8179,0.6175,3.909,0.7979,0.6159,2.7535,0.8173,0.6174,4.264,0.7956,0.6157
istockphoto-488957174-612x612.jpg,3.4375,0.6939,0.8072,0.6166,0.9823,0.3802,2.8236,0.8179,0.6175,3.909,0.7979,0.6159,2.7535,0.8173,0.6174,4.264,0.7956,0.6157
istockphoto-501044585-612x612.jpg,3.3832,0.7303,0.7854,0.47,0.9852,0.2209,2.5581,0.8001,0.4713,4.1069,0.7705,0.4684,2.8667,0.7979,0.4713,4.0012,0.7733,0.4688
istockphoto-501044585-612x612.jpg,3.3832,0.7303,0.7854,0.47,0.9852,0.2209,2.5581,0.8001,0.4713,4.1069,0.7705,0.4684,2.8667,0.7979,0.4713,4.0012,0.7733,0.4688
istockphoto-517715916-612x612.jpg,1.9375,0.5408,0.826,0.6539,0.9864,0.4276,1.4775,0.8362,0.6544,2.3572,0.8142,0.6535,1.542,0.8375,0.6543,2.3732,0.8164,0.6535
istockphoto-517715916-612x612.jpg,1.9375,0.5408,0.826,0.6539,0.9864,0.4276,1.4775,0.8362,0.6544,2.3572,0.8142,0.6535,1.542,0.8375,0.6543,2.3732,0.8164,0.6535
istockphoto-586052010-612x612.jpg,3.4571,0.6905,0.809,0.617,0.982,0.3807,2.8091,0.8186,0.618,4.2843,0.7973,0.616,2.7842,0.8193,0.6178,3.9506,0.8006,0.6163
istockphoto-586052010-612x612.jpg,3.4571,0.6905,0.809,0.617,0.982,0.3807,2.8091,0.8186,0.618,4.2843,0.7973,0.616,2.7842,0.8193,0.6178,3.9506,0.8006,0.6163
istockphoto-609822514-612x612.jpg,2.7303,0.6619,0.8046,0.5925,0.98,0.3511,2.1879,0.8166,0.5935,3.3058,0.7923,0.5915,2.2846,0.8157,0.5935,3.1429,0.7937,0.5916
istockphoto-609822514-612x612.jpg,2.7303,0.6619,0.8046,0.5925,0.98,0.3511,2.1879,0.8166,0.5935,3.3058,0.7923,0.5915,2.2846,0.8157,0.5935,3.1429,0.7937,0.5916
istockphoto-613780354-612x612.jpg,3.0634,0.8469,0.7296,0.3986,0.982,0.1589,2.6407,0.7469,0.4,3.5248,0.7137,0.3971,2.2997,0.7463,0.4,3.7883,0.7113,0.3971
istockphoto-613780354-612x612.jpg,3.0634,0.8469,0.7296,0.3986,0.982,0.1589,2.6407,0.7469,0.4,3.5248,0.7137,0.3971,2.2997,0.7463,0.4,3.7883,0.7113,0.3971
istockphoto-616108408-612x612.jpg,1.6833,0.4647,0.8407,0.6209,0.9879,0.3855,1.3466,0.8542,0.622,1.8327,0.8283,0.62,1.2985,0.8536,0.6216,2.2555,0.8266,0.6198
istockphoto-616108408-612x612.jpg,1.6833,0.4647,0.8407,0.6209,0.9879,0.3855,1.3466,0.8542,0.622,1.8327,0.8283,0.62,1.2985,0.8536,0.6216,2.2555,0.8266,0.6198
istockphoto-625771024-612x612.jpg,1.6039,0.6074,0.7727,0.4008,0.9903,0.1606,1.3164,0.7934,0.4025,1.857,0.7534,0.3991,1.2106,0.7902,0.4023,2.0318,0.754,0.3993
istockphoto-625771024-612x612.jpg,1.6039,0.6074,0.7727,0.4008,0.9903,0.1606,1.3164,0.7934,0.4025,1.857,0.7534,0.3991,1.2106,0.7902,0.4023,2.0318,0.754,0.3993
istockphoto-667661104-612x612.jpg,0.7686,0.3516,0.8575,0.5746,0.9948,0.3302,0.5797,0.875,0.5761,0.9567,0.842,0.5734,0.5645,0.8725,0.5758,0.9734,0.8406,0.5733
istockphoto-667661104-612x612.jpg,0.7686,0.3516,0.8575,0.5746,0.9948,0.3302,0.5797,0.875,0.5761,0.9567,0.842,0.5734,0.5645,0.8725,0.5758,0.9734,0.8406,0.5733
istockphoto-667680664-612x612.jpg,0.8261,0.3728,0.8497,0.5295,0.9959,0.2804,0.6285,0.8688,0.5312,0.9899,0.8332,0.5282,0.6006,0.8635,0.5306,1.0855,0.8331,0.5282
istockphoto-667680664-612x612.jpg,0.8261,0.3728,0.8497,0.5295,0.9959,0.2804,0.6285,0.8688,0.5312,0.9899,0.8332,0.5282,0.6006,0.8635,0.5306,1.0855,0.8331,0.5282
istockphoto-92360356-612x612.jpg,1.3301,0.398,0.8611,0.5579,0.9927,0.3113,1.1255,0.8763,0.5587,1.6169,0.8504,0.5571,0.9489,0.8713,0.5589,1.6289,0.8465,0.557
istockphoto-92360356-612x612.jpg,1.3301,0.398,0.8611,0.5579,0.9927,0.3113,1.1255,0.8763,0.5587,1.6169,0.8504,0.5571,0.9489,0.8713,0.5589,1.6289,0.8465,0.557
istockphoto-92655916-612x612.jpg,1.3082,0.4293,0.8448,0.556,0.9909,0.3091,1.0438,0.8543,0.5571,1.6227,0.8294,0.5546,0.9489,0.8639,0.5574,1.6173,0.8315,0.5547
istockphoto-92655916-612x612.jpg,1.3082,0.4293,0.8448,0.556,0.9909,0.3091,1.0438,0.8543,0.5571,1.6227,0.8294,0.5546,0.9489,0.8639,0.5574,1.6173,0.8315,0.5547
istockphoto-95484841-612x612.jpg,2.473,0.7357,0.7554,0.4653,0.9842,0.2165,2.0106,0.7674,0.4663,2.8927,0.7383,0.4642,1.6965,0.78,0.4669,3.2923,0.7357,0.464
istockphoto-95484841-612x612.jpg,2.473,0.7357,0.7554,0.4653,0.9842,0.2165,2.0106,0.7674,0.4663,2.8927,0.7383,0.4642,1.6965,0.78,0.4669,3.2923,0.7357,0.464
